N,P,K,temperature,humidity,ph,rainfall,label
103.3,46.9,41.1,25.28,84.61,6.46,271.58,rice
105.1,45.5,40.9,22.96,84.22,6.54,201.73,rice
88.5,45.2,38.3,23.87,83.49,6.26,269.31,rice
98.5,47.8,37.6,22.86,85.18,6.31,247.51,rice
96.0,46.3,39.0,25.66,84.98,6.32,256.45,rice
91.9,48.4,36.7,21.95,85.33,6.62,243.43,rice
99.2,46.2,37.5,22.66,84.23,6.68,246.87,rice
88.2,48.9,39.4,22.71,86.02,6.67,258.63,rice
94.4,46.2,40.6,24.64,84.2,6.47,217.87,rice
92.0,50.9,42.3,23.42,86.67,6.56,227.1,rice
102.4,53.9,39.9,25.33,80.63,6.64,241.74,rice
98.0,47.9,36.7,23.24,85.6,6.75,229.63,rice
94.6,45.4,41.5,23.88,84.12,6.59,241.94,rice
106.5,44.6,39.5,23.04,82.56,6.55,245.22,rice
100.0,46.5,37.6,23.01,84.43,6.37,236.77,rice
102.7,55.4,40.3,23.8,84.88,6.18,239.47,rice
100.4,57.8,39.7,23.85,84.94,6.31,262.86,rice
105.0,50.8,38.5,25.14,82.66,6.6,283.81,rice
93.4,45.1,40.2,22.91,82.42,6.51,218.75,rice
103.2,43.7,42.6,22.59,84.46,6.64,215.38,rice
101.5,52.9,37.3,23.72,85.43,6.63,215.26,rice
91.2,49.7,40.5,23.79,85.58,6.39,244.65,rice
102.0,44.5,43.1,24.05,83.01,6.61,220.51,rice
105.2,52.3,38.6,24.62,85.69,6.64,277.94,rice
98.4,44.4,38.5,22.55,84.87,6.56,245.53,rice
105.5,47.6,42.4,23.19,89.53,6.6,222.86,rice
92.9,49.5,39.6,24.33,85.79,6.49,223.06,rice
89.9,45.6,41.4,23.75,82.92,6.53,247.71,rice
94.1,48.1,40.1,22.17,85.6,6.59,261.66,rice
107.0,41.8,38.4,24.1,85.86,6.59,300.0,rice
103.8,52.2,41.6,24.26,84.47,6.63,224.54,rice
98.4,45.5,40.1,26.2,81.89,6.61,207.75,rice
96.9,52.0,40.1,22.24,83.81,6.61,225.39,rice
101.4,47.7,38.9,26.0,86.06,6.16,243.73,rice
95.6,51.1,38.7,23.37,85.84,6.64,215.99,rice
97.8,45.5,38.9,25.56,85.67,6.29,258.36,rice
114.1,51.8,37.5,22.94,87.11,6.38,248.88,rice
105.2,43.6,39.9,19.72,83.29,6.46,215.04,rice
110.9,41.5,39.3,23.65,87.4,6.26,263.26,rice
100.1,43.4,40.8,23.73,84.0,6.51,232.29,rice
100.8,50.3,42.6,22.06,88.56,6.17,236.96,rice
103.9,48.7,39.0,23.26,84.18,6.4,256.99,rice
102.4,44.6,41.5,23.86,86.35,6.6,223.42,rice
96.3,50.6,41.0,23.48,85.2,6.71,228.17,rice
103.6,46.7,39.6,24.78,86.38,6.64,266.11,rice
100.1,50.3,39.5,23.88,84.78,6.52,251.9,rice
94.5,56.2,38.3,22.08,86.93,6.63,252.48,rice
104.2,47.4,38.5,23.59,83.87,6.66,237.06,rice
94.5,46.2,40.7,22.84,83.63,6.54,244.9,rice
96.6,45.5,40.4,21.81,82.65,6.38,235.73,rice
102.1,53.6,41.4,23.31,84.97,6.33,239.63,rice
98.1,48.8,38.6,24.11,87.55,6.48,248.03,rice
104.6,45.8,40.4,23.51,85.16,6.37,240.49,rice
103.3,53.5,41.6,26.01,83.72,6.65,243.67,rice
114.6,44.1,38.6,22.8,81.46,6.41,224.82,rice
101.0,48.9,43.1,24.61,84.04,6.35,249.84,rice
91.2,55.1,42.0,22.95,82.14,6.73,237.71,rice
108.3,40.9,39.0,23.51,85.08,6.42,252.46,rice
92.9,46.9,40.2,24.1,86.19,6.31,209.32,rice
108.5,48.9,38.8,25.31,85.19,6.7,241.35,rice
113.7,54.8,39.6,24.63,86.08,6.73,220.7,rice
104.6,51.9,37.1,22.12,81.6,6.46,254.35,rice
110.0,47.8,42.7,21.89,82.16,6.49,247.68,rice
99.8,38.9,39.9,21.98,86.12,6.56,221.2,rice
96.6,43.1,39.9,24.61,83.36,6.58,229.39,rice
94.7,47.1,38.3,22.85,83.0,6.83,240.71,rice
95.3,48.4,39.8,23.24,86.02,6.63,229.39,rice
96.2,46.4,36.2,21.73,87.28,6.77,235.02,rice
103.8,48.8,45.1,24.81,84.79,6.34,207.87,rice
101.4,44.3,37.6,22.75,83.2,6.78,257.63,rice
99.9,53.7,40.1,22.5,87.54,6.59,219.26,rice
98.7,43.9,37.7,24.58,88.18,6.27,251.26,rice
95.7,45.5,39.0,22.49,85.08,6.36,245.41,rice
99.7,46.5,38.5,22.83,86.26,6.58,220.45,rice
100.7,50.6,37.2,24.13,83.9,6.6,224.73,rice
88.0,40.7,40.1,23.8,83.49,6.61,206.77,rice
99.6,42.5,38.9,23.56,83.57,6.44,260.13,rice
96.2,51.0,38.1,24.12,87.4,6.09,224.06,rice
103.8,46.7,40.6,22.8,85.14,6.47,263.36,rice
101.7,48.9,39.3,22.93,84.28,6.57,231.58,rice
101.9,56.1,41.5,23.12,87.0,6.43,199.24,rice
93.3,39.7,39.4,23.52,87.79,6.55,235.62,rice
105.5,38.3,40.4,24.4,82.54,6.69,246.77,rice
97.2,50.1,43.8,23.71,85.41,6.42,223.0,rice
105.5,43.9,40.1,22.94,85.8,6.56,260.75,rice
96.6,46.4,38.4,22.98,85.63,6.63,221.56,rice
105.8,53.1,40.7,25.69,83.71,6.29,204.43,rice
110.0,50.2,39.9,23.83,83.12,6.91,242.58,rice
100.7,50.5,40.8,23.76,83.68,6.58,277.64,rice
109.0,54.1,39.1,22.35,84.79,6.51,261.88,rice
88.7,53.9,39.7,23.0,83.31,6.22,256.46,rice
100.5,42.1,37.8,23.11,87.78,6.46,209.94,rice
98.4,46.4,35.5,23.44,84.62,6.62,276.98,rice
107.5,46.4,38.2,26.5,85.1,6.5,239.52,rice
101.3,46.9,39.0,22.86,84.95,6.41,225.74,rice
100.7,46.4,42.5,20.41,86.82,6.71,198.53,rice
97.7,46.0,37.7,22.59,83.15,6.79,258.71,rice
108.5,50.5,38.1,22.89,85.82,6.3,254.26,rice
98.4,45.9,41.2,24.02,84.4,6.69,218.38,rice
104.1,50.0,39.5,23.88,82.91,6.65,236.3,rice
76.5,51.9,20.7,20.39,59.81,6.4,74.33,maize
91.7,38.8,26.7,22.82,64.68,6.11,88.33,maize
79.7,52.1,22.8,22.73,63.79,6.24,87.57,maize
68.6,41.9,24.4,22.76,64.39,6.25,87.9,maize
76.4,44.3,23.0,21.03,66.36,5.82,93.58,maize
83.2,48.6,25.0,25.0,68.38,5.79,74.34,maize
75.8,47.6,23.8,21.41,65.62,6.06,79.9,maize
70.6,43.7,19.1,21.04,68.51,6.01,106.94,maize
83.3,48.3,20.4,23.55,63.08,6.28,106.33,maize
79.4,52.3,20.7,22.45,70.9,6.09,100.1,maize
84.7,45.2,24.1,23.96,67.07,5.86,78.94,maize
78.3,47.2,24.1,22.77,60.55,6.35,90.09,maize
83.7,52.0,24.6,23.19,64.77,5.83,88.58,maize
81.4,48.6,19.3,20.88,68.51,6.24,90.68,maize
80.2,47.6,24.8,21.73,65.32,6.13,81.38,maize
77.9,48.4,21.3,24.38,62.02,6.2,81.34,maize
89.6,48.3,25.1,20.27,65.89,6.47,85.69,maize
87.1,45.3,26.0,25.95,63.79,6.14,97.11,maize
90.5,45.3,21.4,22.08,60.52,6.02,76.63,maize
74.9,47.4,23.1,24.83,61.67,6.5,83.22,maize
79.7,50.3,19.7,23.07,65.55,6.37,87.41,maize
96.4,44.8,21.2,21.57,63.15,6.09,94.91,maize
89.5,45.1,20.4,23.21,63.16,6.41,86.69,maize
69.9,53.9,27.0,21.58,63.71,6.32,87.79,maize
84.4,55.9,22.1,21.3,60.4,6.07,84.72,maize
92.0,45.3,23.1,22.48,68.96,6.88,80.58,maize
76.7,51.9,24.2,25.27,66.95,6.16,89.92,maize
87.4,50.9,23.8,24.1,68.9,6.6,90.41,maize
78.9,48.1,25.5,21.27,66.23,6.15,85.24,maize
88.5,48.3,22.6,20.46,67.49,6.41,103.03,maize
77.9,48.4,23.1,24.87,64.68,6.32,90.07,maize
81.2,45.6,23.0,24.11,61.58,6.28,79.17,maize
88.0,41.2,21.1,23.07,70.22,6.23,80.37,maize
92.5,41.5,17.0,23.16,63.33,5.99,90.9,maize
81.6,45.1,19.3,23.81,67.17,6.23,100.39,maize
72.9,41.1,20.8,22.43,65.81,6.19,87.93,maize
71.7,53.5,22.3,24.18,66.14,6.36,89.75,maize
83.0,50.2,25.8,22.79,67.36,6.23,97.0,maize
75.5,55.0,22.4,20.35,65.43,6.08,92.01,maize
75.6,45.6,17.8,21.82,56.92,5.85,91.34,maize
85.2,49.3,20.1,22.43,64.99,5.96,97.53,maize
85.8,46.6,22.6,22.81,58.19,6.19,79.32,maize
73.3,46.3,27.0,23.46,63.1,6.39,96.66,maize
86.2,47.7,20.9,23.55,66.31,6.47,90.29,maize
87.0,45.3,25.8,22.8,71.92,6.08,99.47,maize
81.3,44.8,21.3,22.02,66.41,6.38,80.22,maize
79.8,56.4,26.8,23.15,65.13,6.28,90.11,maize
73.2,46.4,18.3,23.1,67.16,6.13,98.12,maize
71.8,41.4,23.1,24.07,70.61,6.14,93.99,maize
79.7,46.8,24.7,23.48,59.75,6.62,96.5,maize
75.8,49.1,23.7,22.89,63.17,6.08,84.79,maize
87.8,49.8,21.6,23.66,55.5,6.54,70.5,maize
77.6,42.8,19.3,24.24,63.44,6.34,84.61,maize
83.2,47.8,19.3,23.99,63.35,5.86,81.43,maize
90.0,51.0,21.6,21.98,63.93,6.77,88.18,maize
82.9,51.8,23.1,22.11,64.35,6.23,84.69,maize
84.9,47.7,24.3,22.38,65.26,5.75,92.64,maize
82.3,51.7,15.3,25.63,64.53,6.53,76.33,maize
84.1,43.1,20.9,25.37,64.36,6.3,92.25,maize
83.3,48.1,23.4,26.11,64.81,6.3,93.76,maize
87.4,52.4,24.1,20.79,70.44,5.96,87.52,maize
75.0,47.2,23.3,22.98,66.41,6.65,88.78,maize
78.4,51.5,25.5,20.66,66.99,6.43,82.52,maize
89.2,46.9,22.8,22.24,65.05,5.98,73.0,maize
90.6,44.0,20.0,19.27,62.87,5.92,98.68,maize
86.7,44.6,28.1,23.97,63.92,5.63,104.09,maize
70.7,40.6,25.1,26.16,69.61,6.39,89.96,maize
85.7,50.7,23.2,22.66,64.79,6.06,82.66,maize
68.7,47.1,20.0,20.84,65.6,6.6,92.65,maize
69.5,43.4,24.9,21.03,64.25,6.39,76.93,maize
80.7,41.9,21.0,22.98,59.69,6.36,84.84,maize
83.7,48.4,25.9,22.69,63.57,6.28,89.53,maize
80.3,47.7,20.7,21.51,60.32,6.69,74.63,maize
75.4,44.5,24.7,22.06,69.16,6.08,87.32,maize
74.4,56.4,19.5,22.96,67.11,6.35,83.46,maize
79.1,47.7,22.1,23.95,72.37,6.11,73.58,maize
79.4,58.2,20.5,24.96,70.59,6.11,89.74,maize
90.9,45.9,22.0,21.63,61.62,6.09,74.8,maize
80.2,44.3,23.1,20.17,66.1,6.46,68.39,maize
82.5,52.6,19.5,25.01,66.4,6.07,84.54,maize
83.7,47.8,23.8,21.12,65.56,5.9,84.07,maize
74.0,44.4,25.6,24.14,67.03,5.98,82.36,maize
88.1,48.1,28.3,23.09,65.64,6.17,86.11,maize
79.0,50.5,24.9,21.32,60.56,5.79,89.23,maize
72.6,38.5,23.5,26.24,64.98,6.46,85.68,maize
79.3,51.3,21.8,22.9,66.07,6.08,93.27,maize
78.8,44.4,23.8,21.15,65.09,6.25,94.05,maize
83.2,47.4,24.5,24.59,66.86,6.25,74.07,maize
72.9,46.2,21.0,22.22,65.19,6.38,84.41,maize
83.2,47.8,17.6,21.09,64.52,5.95,90.0,maize
90.2,52.6,22.0,24.74,65.5,6.17,79.89,maize
78.0,45.9,22.9,22.74,65.01,6.36,94.92,maize
86.3,41.3,16.1,23.9,60.44,6.19,75.25,maize
68.0,49.8,24.4,21.64,56.36,6.11,88.27,maize
70.1,48.3,22.5,23.37,65.4,6.01,94.97,maize
78.9,47.4,20.2,21.84,62.05,6.21,99.26,maize
70.9,40.8,26.2,22.19,62.77,6.51,79.95,maize
92.2,50.3,21.3,25.74,62.98,6.44,87.49,maize
88.7,54.0,22.6,21.37,66.53,6.08,101.78,maize
80.9,46.0,23.0,20.48,61.76,6.55,79.53,maize
41.5,66.8,79.0,21.34,18.0,6.56,71.58,chickpea
50.0,63.9,74.2,22.05,17.56,6.86,86.52,chickpea
42.9,68.1,75.2,20.81,18.53,6.88,79.74,chickpea
48.6,63.8,72.2,19.28,15.03,7.26,72.9,chickpea
44.3,64.1,76.0,21.45,17.86,6.6,76.8,chickpea
45.9,64.2,80.4,21.07,17.73,6.92,82.39,chickpea
45.6,60.7,76.3,19.74,16.47,6.9,82.66,chickpea
45.1,66.0,80.7,20.78,19.6,6.89,70.16,chickpea
47.5,66.3,79.3,21.29,16.86,6.44,76.63,chickpea
42.2,63.1,77.0,22.45,17.39,6.45,79.35,chickpea
49.0,63.0,74.6,20.52,16.22,6.91,77.0,chickpea
46.4,62.0,73.5,21.34,16.63,7.18,75.83,chickpea
45.7,68.1,70.3,18.45,15.47,7.07,75.2,chickpea
53.5,63.1,75.6,22.3,19.01,7.27,82.53,chickpea
48.4,67.0,77.6,19.86,16.18,6.75,76.79,chickpea
43.5,67.3,78.2,20.6,18.48,6.46,76.69,chickpea
42.6,58.8,74.7,20.36,18.51,6.91,73.23,chickpea
51.2,69.1,76.9,20.24,16.04,6.66,82.04,chickpea
51.3,70.1,73.4,19.19,17.14,6.31,78.85,chickpea
44.5,63.4,69.7,21.1,16.47,6.46,65.53,chickpea
44.9,70.9,80.5,19.97,16.4,6.87,73.34,chickpea
46.0,67.6,79.1,20.38,16.8,6.53,74.05,chickpea
44.2,66.2,78.0,19.56,18.49,6.68,77.41,chickpea
42.5,56.9,77.9,21.36,16.72,6.77,79.65,chickpea
39.8,63.2,77.6,19.04,17.29,6.41,79.44,chickpea
44.9,59.6,78.9,19.64,16.19,6.8,82.29,chickpea
41.6,65.2,76.4,21.31,17.18,6.66,74.05,chickpea
45.3,61.4,65.3,21.01,17.9,6.16,73.29,chickpea
47.1,71.9,75.1,19.65,16.82,7.09,74.81,chickpea
42.3,63.4,71.8,20.64,18.62,6.83,76.45,chickpea
44.0,59.8,77.9,20.41,16.82,7.55,78.74,chickpea
42.5,63.6,78.8,20.63,15.56,6.98,74.72,chickpea
51.2,68.6,73.5,21.99,17.07,6.96,79.52,chickpea
42.2,62.9,78.4,20.11,16.6,6.51,79.26,chickpea
51.9,61.4,75.1,22.15,16.92,6.86,73.07,chickpea
46.4,64.4,78.3,21.89,19.59,6.89,78.86,chickpea
45.6,63.8,76.1,20.16,17.17,7.08,73.31,chickpea
48.8,69.4,74.6,18.02,16.39,7.07,77.4,chickpea
41.7,63.3,77.8,21.14,16.76,6.66,75.87,chickpea
41.9,70.4,73.9,21.92,18.52,7.0,75.7,chickpea
46.3,64.9,72.0,20.88,15.82,7.05,75.56,chickpea
45.7,65.9,74.1,21.18,16.53,6.97,71.89,chickpea
45.4,71.5,71.7,19.71,17.51,6.79,78.96,chickpea
46.6,67.1,78.7,20.98,16.76,6.92,85.42,chickpea
44.6,61.8,78.7,20.36,14.83,6.96,75.27,chickpea
44.7,66.1,75.6,21.33,16.56,6.88,76.42,chickpea
47.5,67.1,71.9,21.77,16.46,6.95,79.03,chickpea
51.1,64.3,73.8,20.48,16.7,6.95,70.77,chickpea
41.5,61.4,78.2,22.5,16.9,6.71,77.79,chickpea
48.9,61.9,75.8,21.64,17.5,6.8,81.67,chickpea
36.0,67.3,72.8,18.36,17.51,7.09,76.93,chickpea
48.2,70.4,79.4,22.41,17.74,6.77,70.83,chickpea
44.2,62.2,82.2,20.29,17.12,6.89,77.68,chickpea
50.7,62.9,75.6,19.63,15.68,6.6,77.35,chickpea
43.6,62.7,70.3,20.4,15.5,6.94,77.84,chickpea
40.1,64.0,72.5,20.87,18.34,6.28,77.98,chickpea
44.5,67.2,75.7,19.62,16.68,6.55,81.98,chickpea
45.1,71.3,74.8,19.67,15.49,6.3,70.9,chickpea
45.9,66.7,69.7,21.54,16.52,6.79,84.22,chickpea
48.0,64.1,72.0,17.99,16.28,6.7,73.39,chickpea
44.6,65.3,74.3,19.74,17.17,6.86,72.96,chickpea
49.7,64.7,75.1,21.33,17.23,6.99,78.7,chickpea
43.0,66.2,71.2,20.63,16.97,6.7,76.96,chickpea
38.7,63.2,75.3,20.69,15.97,7.07,73.89,chickpea
48.2,66.4,72.8,22.57,15.81,6.98,81.67,chickpea
42.8,69.6,74.2,20.84,17.26,6.72,80.88,chickpea
47.6,59.2,79.3,18.56,18.03,7.03,72.95,chickpea
