state,district,crop,gross_cropped_area_ha,irrigated_pct
Maharashtra,Nashik,Rice,26615.73,58.8
Punjab,Amritsar,Maize,49548.47,33.8
Uttar Pradesh,Kanpur,Wheat,21828.65,66.1
Madhya Pradesh,Gwalior,Cotton,22847.81,40.1
Karnataka,Shimoga,Potato,14161.88,44.0
Gujarat,Ahmedabad,Tomato,41434.61,52.2
Haryana,Hisar,Apple,44930.61,36.3
Rajasthan,Udaipur,Grapes,12876.68,37.2
Goa,Verna,Onion,49016.76,72.2
Tamil Nadu,Tirupur,Soybean,7438.79,32.1
Maharashtra,Nashik,Rice,18219.91,48.0
Punjab,Amritsar,Maize,27660.19,60.4
Uttar Pradesh,Kanpur,Wheat,49964.73,93.5
Madhya Pradesh,Gwalior,Cotton,49783.05,42.4
Karnataka,Shimoga,Potato,47347.4,51.0
Gujarat,Ahmedabad,Tomato,38309.02,88.5
Haryana,Hisar,Apple,14631.45,80.8
Rajasthan,Udaipur,Grapes,44198.48,77.2
Goa,Verna,Onion,19764.52,90.0
Tamil Nadu,Tirupur,Soybean,4777.43,68.9
Maharashtra,Nashik,Rice,9264.31,57.4
Punjab,Amritsar,Maize,36844.14,65.0
Uttar Pradesh,Kanpur,Wheat,24389.88,89.5
Madhya Pradesh,Gwalior,Cotton,46400.5,67.2
Karnataka,Shimoga,Potato,27238.64,91.2
Gujarat,Ahmedabad,Tomato,27961.11,73.8
Haryana,Hisar,Apple,46412.63,94.6
Rajasthan,Udaipur,Grapes,8763.09,80.0
Goa,Verna,Onion,49293.5,82.9
Tamil Nadu,Tirupur,Soybean,23797.73,60.5
Maharashtra,Nashik,Rice,26705.87,57.3
Punjab,Amritsar,Maize,42260.27,86.6
Uttar Pradesh,Kanpur,Wheat,30087.6,63.5
Madhya Pradesh,Gwalior,Cotton,20950.23,30.4
Karnataka,Shimoga,Potato,32104.71,91.0
Gujarat,Ahmedabad,Tomato,21700.66,66.7
Haryana,Hisar,Apple,32311.42,79.4
Rajasthan,Udaipur,Grapes,41710.75,57.9
Goa,Verna,Onion,27950.21,53.2
Tamil Nadu,Tirupur,Soybean,16834.52,32.8
Maharashtra,Nashik,Rice,16828.44,45.0
Punjab,Amritsar,Maize,34138.09,88.8
Uttar Pradesh,Kanpur,Wheat,28761.47,65.1
