subdivision,state,normal_monsoon_mm,actual_monsoon_mm,departure_pct
Maharashtra Zone-1,Maharashtra,950.0,1020.0,7.37
Punjab Zone-1,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-1,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-1,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-1,Karnataka,1200.0,1150.0,-4.16
Goa Zone-1,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-1,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-1,Gujarat,750.0,820.0,9.33
Maharashtra Zone-2,Maharashtra,950.0,1020.0,7.37
Punjab Zone-2,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-2,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-2,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-2,Karnataka,1200.0,1150.0,-4.16
Goa Zone-2,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-2,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-2,Gujarat,750.0,820.0,9.33
Maharashtra Zone-3,Maharashtra,950.0,1020.0,7.37
Punjab Zone-3,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-3,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-3,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-3,Karnataka,1200.0,1150.0,-4.16
Goa Zone-3,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-3,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-3,Gujarat,750.0,820.0,9.33
Maharashtra Zone-4,Maharashtra,950.0,1020.0,7.37
Punjab Zone-4,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-4,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-4,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-4,Karnataka,1200.0,1150.0,-4.16
Goa Zone-4,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-4,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-4,Gujarat,750.0,820.0,9.33
Maharashtra Zone-5,Maharashtra,950.0,1020.0,7.37
Punjab Zone-5,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-5,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-5,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-5,Karnataka,1200.0,1150.0,-4.16
Goa Zone-5,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-5,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-5,Gujarat,750.0,820.0,9.33
