commodity,state,district,mandi,min_price,max_price,modal_price,arrival_date
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2687,3317,2911,2026-08-01
Rice,Maharashtra,Pune,Pune APMC Mandi,2396,2972,2769,2026-08-02
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2686,3769,3153,2026-08-03
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2772,3214,2971,2026-08-04
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2373,3043,2696,2026-08-05
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2407,2947,2695,2026-08-06
Rice,Maharashtra,Pune,Pune APMC Mandi,2262,2843,2573,2026-08-07
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2570,3351,2870,2026-08-08
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2559,2975,2815,2026-08-09
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2258,2667,2480,2026-08-10
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2447,2974,2665,2026-08-11
Rice,Maharashtra,Pune,Pune APMC Mandi,2357,3073,2734,2026-08-12
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2629,3365,2984,2026-08-13
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2285,2722,2526,2026-08-14
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2546,3200,2965,2026-08-15
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2425,3118,2838,2026-08-16
Rice,Maharashtra,Pune,Pune APMC Mandi,2302,2723,2468,2026-08-17
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2316,2984,2638,2026-08-18
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2462,3440,2872,2026-08-19
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2515,2929,2713,2026-08-20
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2809,3215,3030,2026-08-21
Rice,Maharashtra,Pune,Pune APMC Mandi,2664,3210,3008,2026-08-22
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2538,3045,2874,2026-08-23
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2659,3316,3018,2026-08-24
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2799,3342,2982,2026-08-25
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2674,3590,3103,2026-08-26
Rice,Maharashtra,Pune,Pune APMC Mandi,2670,3237,2880,2026-08-27
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2836,3502,3144,2026-08-28
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2484,3174,2819,2026-08-01
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2571,2971,2733,2026-08-02
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2732,3323,3131,2026-08-03
Rice,Maharashtra,Pune,Pune APMC Mandi,2358,2882,2683,2026-08-04
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2795,3239,3005,2026-08-05
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2698,3249,2873,2026-08-06
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2305,2943,2642,2026-08-07
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2540,3214,2726,2026-08-08
Rice,Maharashtra,Pune,Pune APMC Mandi,2497,3034,2801,2026-08-09
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2367,3023,2747,2026-08-10
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2491,3192,2763,2026-08-11
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2561,3455,2890,2026-08-12
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2082,2501,2370,2026-08-13
Rice,Maharashtra,Pune,Pune APMC Mandi,2545,3144,2794,2026-08-14
