crop,state,season,area_hectares,production_tons,rainfall_mm,fertilizer_kg_ha
Tomato,Punjab,Whole Year,26.32,646.06,729.3,172.4
Wheat,Goa,Rabi,20.82,85.82,464.9,168.1
Grapes,Uttar Pradesh,Rabi,11.86,185.57,765.1,179.5
Maize,Haryana,Kharif,44.23,173.97,630.5,123.6
Tomato,Haryana,Kharif,38.67,567.58,463.0,166.0
Rice,Rajasthan,Zaid,31.97,108.91,848.1,105.9
Chickpea,Madhya Pradesh,Whole Year,17.37,34.73,238.2,27.3
Rice,Gujarat,Zaid,40.95,111.52,1010.1,114.4
Apple,Tamil Nadu,Rabi,48.82,471.68,916.6,86.4
Rice,Goa,Zaid,23.95,79.47,909.9,129.4
Grapes,Karnataka,Kharif,31.62,498.64,927.8,125.0
Tomato,Madhya Pradesh,Whole Year,7.96,140.29,873.4,133.6
Chickpea,Tamil Nadu,Rabi,18.23,24.16,200.0,55.2
Grapes,Rajasthan,Rabi,35.95,576.32,760.8,144.9
Wheat,Goa,Zaid,28.32,85.96,454.8,127.1
Maize,Tamil Nadu,Whole Year,30.72,142.16,630.9,92.0
Apple,Punjab,Kharif,42.16,499.07,635.5,108.6
Banana,Punjab,Whole Year,43.03,1569.46,1098.5,190.4
Grapes,Madhya Pradesh,Kharif,45.22,656.34,789.7,165.8
Maize,Karnataka,Zaid,15.71,75.6,749.7,102.3
Banana,Tamil Nadu,Whole Year,6.11,171.45,1172.2,188.0
Tomato,Maharashtra,Whole Year,36.46,946.67,871.9,130.1
Tomato,Tamil Nadu,Whole Year,14.96,360.65,900.5,158.2
Tomato,Uttar Pradesh,Whole Year,14.75,394.19,804.2,143.9
Rice,Madhya Pradesh,Kharif,13.48,31.88,1234.7,119.1
Potato,Tamil Nadu,Rabi,37.67,678.11,613.1,170.5
Cotton,Gujarat,Zaid,36.41,70.67,501.9,92.3
Grapes,Gujarat,Zaid,17.94,270.87,871.7,148.9
Wheat,Uttar Pradesh,Kharif,4.24,18.22,424.7,109.8
Chickpea,Maharashtra,Zaid,19.2,36.96,370.5,58.2
Cotton,Karnataka,Rabi,42.5,88.18,945.3,92.4
Chickpea,Karnataka,Rabi,3.33,4.47,391.2,41.8
Grapes,Rajasthan,Whole Year,10.81,166.58,689.2,147.4
Chickpea,Madhya Pradesh,Rabi,44.0,68.22,237.7,44.1
Potato,Uttar Pradesh,Kharif,38.51,639.47,479.7,141.4
Chickpea,Karnataka,Zaid,28.16,57.34,732.9,60.1
Banana,Goa,Kharif,15.53,392.24,1188.8,206.4
Wheat,Karnataka,Zaid,3.41,18.7,509.0,129.3
Chickpea,Gujarat,Kharif,21.96,39.48,495.2,45.2
Wheat,Maharashtra,Whole Year,30.29,133.98,671.4,100.8
Tomato,Uttar Pradesh,Whole Year,4.47,118.9,613.6,179.8
Tomato,Rajasthan,Rabi,34.24,967.94,838.0,125.0
Maize,Haryana,Zaid,46.83,184.86,615.1,85.2
Wheat,Gujarat,Whole Year,44.47,162.81,267.4,117.4
Grapes,Punjab,Whole Year,47.38,590.01,721.0,113.4
Wheat,Gujarat,Zaid,39.94,158.78,382.5,168.7
Rice,Madhya Pradesh,Whole Year,45.53,162.44,815.4,140.3
Chickpea,Tamil Nadu,Zaid,2.79,5.13,208.9,82.7
Chickpea,Punjab,Whole Year,27.98,43.45,567.3,56.5
Tomato,Tamil Nadu,Zaid,0.61,13.45,828.3,127.0
